WIG20		MACD		EMA11		EMA25		SIGNAL
1782		5.82167		1785.79		1779.96		4.29153
1752		1.70816		1778.96		1777.25		3.94773
1748		-1.87928		1772.7		1774.58		2.67705
1744		-4.62615		1767.18		1771.8		0.935617
1721		-8.8478		1758.12		1766.96		-1.67889
1714		-12.6235		1749.14		1761.77		-4.78687
1719		-14.7138		1742.83		1757.55		-7.72394
1727		-16.2171		1738.39		1754.61		-10.3253
1760		-13.7858		1741.3		1755.08		-11.615
1757		-12.0979		1743.47		1755.57		-12.0994
1765		-9.42709		1747.13		1756.56		-11.6573
1751		-8.81793		1747.22		1756.04		-11.0883
1761		-7.15967		1749.35		1756.51		-10.1576
1762		-5.21215		1751.83		1757.04		-8.84742
1754		-4.03225		1752.33		1756.36		-7.46927
1725		-6.1624		1747.02		1753.18		-6.969
1709		-8.99158		1739.89		1748.88		-7.328
1730		-8.6714		1738.38		1747.05		-7.56006
1734		-7.90606		1737.85		1745.76		-7.56148
1732		-7.41803		1736.88		1744.3		-7.48485
1740		-6.60813		1737.09		1743.7		-7.22082
1762		-2.91559		1741.71		1744.62		-6.05838
1776		1.43084		1748.14		1746.71		-4.05125
1758		2.82859		1750.06		1747.23		-2.19205
1755		3.2456		1750.85		1747.6		-0.641704
1749		2.93603		1750.28		1747.34		0.494801
1734		1.18015		1746.96		1745.78		0.866075
1745		1.31815		1746.96		1745.64		1.1663
1736		0.705953		1745.46		1744.75		1.21609
1727		-1.10783		1742.05		1743.15		0.746738
1731		-2.30116		1739.98		1742.28		-0.00276706
1754		-0.707807		1742.93		1743.64		-0.222431
1793		4.6352		1752.98		1748.35		1.02864
1810		10.0748		1764.21		1754.14		3.42877
1790		11.8359		1769.15		1757.32		5.71118
1788		13.0269		1773.12		1760.09		7.78053
1767		11.5567		1772.22		1760.67		8.93236
1761		9.60184		1770.4		1760.8		9.28027
1793		11.865		1775.57		1763.7		10.1897
1798		13.7806		1780.6		1766.82		11.4138
1777		12.8111		1780.68		1767.87		12.0375
1775		11.5539		1780.51		1768.96		12.057
1781		10.834		1781.5		1770.67		11.7667
1786		10.422		1782.89		1772.47		11.4018
1790		9.6791		1784.13		1774.45		10.9032
1800		9.63782		1786.84		1777.2		10.5479
1800		9.76667		1789.41		1779.64		10.3559
1821		12.1853		1795.75		1783.56		10.8198
1824		14.6159		1801.91		1787.29		11.7858
1846		18.5546		1811.45		1792.9		13.5945
1857		21.8042		1820.89		1799.08		15.855
1864		24.4477		1829.91		1805.46		18.2795
1852		24.8698		1835.28		1810.41		20.2203
1847		24.3143		1838.7		1814.39		21.5408
1837		22.1588		1839.4		1817.24		21.9494
1825		18.6083		1837.48		1818.87		21.2936
1820		14.9591		1834.84		1819.88		19.7662
1790		8.6446		1826.51		1817.87		16.8646
1803		5.50984		1822.29		1816.78		13.7612
1762		-1.63422		1810.27		1811.9		9.43666
1759		-7.57169		1799.78		1807.35		4.53474
1788		-9.20791		1796.59		1805.8		0.40747
1797		-9.8187		1795.59		1805.41		-2.8418
1803		-9.80943		1795.84		1805.65		-5.2325
1814		-8.07584		1798.46		1806.53		-6.48489
1792		-9.01417		1796.29		1805.31		-7.60375
1803		-8.49037		1796.9		1805.39		-8.17316
1800		-8.20365		1797.02		1805.22		-8.4591
1792		-8.67523		1795.6		1804.28		-8.65603
1788		-8.81174		1794.18		1802.99		-8.72012
1759		-12.1598		1786.99		1799.15		-9.63994
1745		-15.2		1779.05		1794.25		-11.1392
1744		-17.244		1772.41		1789.65		-12.8163
1754		-17.6579		1768.45		1786.11		-14.2211
1745		-18.7515		1763.25		1782		-15.5513
1705		-23.4873		1750.9		1774.39		-17.8397
1713		-25.7948		1742.19		1767.99		-20.1855
1689		-29.1904		1730.67		1759.86		-22.853
1715		-28.6168		1726.24		1754.85		-24.6959
1724		-26.6505		1724.46		1751.12		-25.4787
1744		-22.4312		1727.15		1749.58		-24.8636
1750		-18.2186		1730.62		1748.84		-23.2221
1756		-13.5699		1735.18		1748.75		-20.7261
1751		-10.3629		1738.17		1748.53		-17.965
1732		-9.64379		1736.83		1746.47		-15.6038
1769		-5.39949		1742.95		1748.35		-12.6388
1853		7.20792		1764.9		1757.69		-6.9384
1823		14.3068		1777.59		1763.28		-0.755971
1802		17.1966		1783.62		1766.43		4.62206
1793		18.7488		1787.2		1768.45		8.98948
1754		15.1899		1781.86		1766.67		11.2176
1733		9.77111		1773.14		1763.37		11.3297
1772		9.69703		1773.44		1763.74		11.3286
1762		8.36524		1771.57		1763.21		10.9533
1780		9.10952		1773.54		1764.43		10.7868
1782		9.86181		1775.63		1765.77		10.6094
1814		13.8852		1784.08		1770.2		11.4198
1843		19.0908		1796.13		1777.04		13.376
1832		19.929		1802.27		1782.34		15.0382
1797		16.8861		1800.85		1783.96		15.5346
1793		14.0785		1799.26		1785.18		15.258
1762		8.01222		1791.93		1783.91		13.4123
1759		3.63328		1786.03		1782.4		10.8715
1808		5.6982		1791.37		1785.67		9.50897
1841		10.2337		1801.64		1791.4		9.69769
1839		13.4151		1809.81		1796.4		10.6175
1849		16.4871		1818.18		1801.69		12.0321
1831		16.5174		1821.39		1804.87		13.0842
1818		14.2818		1820.85		1806.56		13.3307
1806		10.3938		1817.48		1807.09		12.5217
1799		6.39469		1813.53		1807.13		10.9571
1841		8.72717		1819.31		1810.59		10.503
1846		11.7714		1825.12		1813.35		10.9434
1853		14.9946		1831.82		1816.83		12.0528
1815		12.9545		1829.77		1816.82		12.2689
1816		10.4219		1827.41		1816.99		11.684
1818		7.55481		1825.29		1817.73		10.4698
1825		5.71855		1824.98		1819.26		9.10822
1848		6.80108		1829.15		1822.35		8.45852
1852		8.03087		1833.68		1825.65		8.38481
1837		7.47868		1834.63		1827.15		8.13294
1865		10.1758		1841.21		1831.03		8.61128
1899		16.1653		1853.52		1837.35		10.5235
1896		19.6388		1862.23		1842.59		12.938
1897		21.8532		1869.47		1847.61		15.3988
1892		22.1185		1874.27		1852.15		17.3743
1916		25.143		1883.67		1858.53		19.7107
1925		27.6148		1893.14		1865.53		22.1091
1943		30.8275		1904.46		1873.63		24.7514
1950		33.7783		1914.98		1881.21		27.5419
1962		36.6622		1925.58		1888.92		30.3595
1964		38.3626		1934.58		1896.22		32.8107
1946		37.4134		1938.62		1901.2		34.3222
1939		34.6736		1940.02		1905.34		34.6702
1951		32.5782		1942.95		1910.37		34.3595
1944		29.5157		1944		1914.49		33.2373
1907		22.4503		1937.46		1915		30.4357
1914		17.9072		1933.59		1915.68		27.0414
1919		14.2889		1930.99		1916.7		23.4577
1905		9.60268		1925.9		1916.3		19.4448
1919		6.62514		1924.22		1917.59		15.5958
1933		5.47448		1925.51		1920.03		12.4172
1986		9.89082		1936.94		1927.05		11.2827
1973		11.4034		1943.66		1932.25		10.8831
1997		15.2994		1954.27		1938.97		11.6987
1999		18.189		1963.48		1945.29		13.2348
1953		14.5035		1961.61		1947.11		13.4829
1936		9.85762		1956.81		1946.95		12.4866
1935		6.97945		1953.35		1946.37		11.0566
1962		7.48269		1955.79		1948.3		10.1805
1952		6.52349		1955.69		1949.17		9.28755
1961		6.83589		1957.66		1950.83		8.61264
1944		5.05797		1955.63		1950.57		7.59519
1905		-0.798274		1945.92		1946.72		5.17012
1906		-5.85494		1937.22		1943.08		1.92588
1913		-8.54928		1931.74		1940.29		-1.16077
1910		-11.1057		1926.22		1937.33		-4.07245
1887		-15.4288		1917.08		1932.51		-7.3663
1878		-18.819		1908.62		1927.44		-10.7633
1876		-21.0629		1901.61		1922.68		-13.898
1895		-20.1916		1899.69		1919.88		-16.02
1873		-22.1604		1893.24		1915.4		-18.1075
1877		-23.0794		1888.94		1912.02		-19.8027
1825		-29.2685		1874.87		1904.14		-22.6443
1825		-33.1725		1863.66		1896.83		-25.7761
1824		-35.1761		1854.99		1890.17		-28.6146
1844		-33.8209		1851.88		1885.7		-30.2894
1838		-32.8951		1848.01		1880.9		-31.2265
1818		-33.2366		1840.9		1874.13		-31.9761
1844		-29.7016		1840.69		1870.39		-31.6005
1859		-24.3763		1843.68		1868.05		-29.8394
1841		-21.6949		1842.56		1864.26		-27.7752
1853		-18.618		1843.7		1862.32		-25.2697
1847		-16.3405		1843.84		1860.18		-22.6958
1783		-21.3465		1831.08		1852.43		-22.0778
1787		-23.0018		1822.39		1845.39		-22.0892
1765		-26.1506		1810.87		1837.02		-22.9677
1758		-28.5305		1800.07		1828.6		-24.2629
1760		-29.9368		1791.28		1821.21		-25.6861
1767		-29.8639		1785.59		1815.45		-26.8419
1769		-28.6286		1781.69		1810.32		-27.4293
1790		-25.1917		1782.23		1807.42		-27.0033
1788		-22.6045		1782		1804.61		-26.0307
1739		-25.4788		1772.35		1797.83		-25.9766
1731		-28.3248		1762.64		1790.96		-26.6717
1777		-24.8319		1763.99		1788.82		-26.185
1780		-20.0806		1766.85		1786.93		-24.4874
1755		-19.0362		1764.12		1783.15		-22.9034
1728		-20.316		1756.89		1777.2		-22.0628
1713		-22.8106		1748.1		1770.91		-22.1316
1729		-22.4954		1744.07		1766.56		-22.1679
1727		-22.1502		1740.25		1762.4		-22.1542
1683		-26.089		1728.29		1754.38		-23.1503
1674		-29.9203		1716.33		1746.25		-24.8752
1692		-30.4281		1710.18		1740.61		-26.377
1679		-30.5423		1703.44		1733.98		-27.6306
1734		-23.641		1709.05		1732.69		-26.7267
1776		-14.2787		1721.2		1735.48		-23.4922
1772		-7.27089		1730.29		1737.56		-19.1215
1750		-3.77011		1733.79		1737.56		-14.9036
1703		-6.22581		1727.74		1733.97		-12.411
1725		-5.15013		1727.46		1732.61		-10.1708
1745		-2.45758		1730.93		1733.39		-7.68514
1792		4.77387		1743.21		1738.43		-3.85596
1804		12.3027		1756.44		1744.13		1.05324
1859		24.1368		1778.41		1754.27		7.79379
1893		36.2056		1802.86		1766.65		15.9213
1876		43.4095		1819.7		1776.29		23.8219
1879		47.6412		1833.09		1785.45		30.8202
1873		48.2528		1842.09		1793.84		36.284
1866		47.122		1848.13		1801		40.0543
1858		45.4622		1851.86		1806.4		42.3788
1840		42.4604		1852.17		1809.71		43.1641
1803		34.9635		1844.63		1809.67		41.5738
1771		24.6924		1831.71		1807.02		37.3647
1754		13.6975		1816.9		1803.2		30.9911
1757		5.36839		1805.16		1799.8		23.8134
1798		2.37893		1802.76		1800.39		17.5362
1773		-3.92974		1795.19		1799.12		11.1107
1814		-4.26244		1797.5		1801.76		6.22453
1864		0.802085		1809.32		1808.52		3.96254
1868		4.66918		1819.9		1815.23		3.37223
1867		7.73464		1828.48		1820.75		3.91022
1886		12.3388		1839.44		1827.1		5.76665
1923		19.791		1856.13		1836.34		9.3964
1925		25.605		1870.84		1845.24		13.8593
1936		30.7492		1885.66		1854.91		18.6575
1963		37.4621		1903.48		1866.01		24.1987
1943		39.7871		1914.01		1874.22		28.9898
1943		40.6026		1921.89		1881.28		32.7008
1982		45.3931		1936.57		1891.18		36.7003
2021		52.4053		1955.65		1903.24		41.5332
2009		55.0535		1967.95		1912.9		45.7802
2023		57.5215		1980.75		1923.23		49.4812
2007		56.7868		1988.04		1931.25		51.9405
